attestationdedeplacement,apps/kakoune
bitwarden,apps/bitwarden
calculator,apps/org.gnome.Calculator
discord,apps/com.discordapp.Discord
discord,apps/discord
downwell,apps/Downwell.desktop
element,apps/element
familylink,apps/org.inkscape.Inkscape
files,system/index
files,system/org.kde.dolphin
firefox,apps/firefox
firefox_master,apps/librewolf
galaxystore,apps/org.kde.discover
google_chrome,apps/chromium
huawei_photos,apps/gimp
libremmail,apps/thunderbird
libreofficeviewer,apps/base
libreofficeviewer,apps/calc
libreofficeviewer,apps/draw
libreofficeviewer,apps/impress
libreofficeviewer,apps/math
libreofficeviewer,apps/startcenter
libreofficeviewer,apps/writer
logseq,apps/logseq
microsoftteams,apps/teams
mullvadvpn,apps/mullvad-vpn
openmw,apps/openmw
opentasks,apps/com.github.alainm23.planner
radiodroid,status/audio-volume-high
settings,apps/systemsettings
simplefilemanager,apps/org.gnome.Nautilus
slack,apps/slack
spotify,apps/dev.alextren.Spot
spotify,apps/spotify-client
steam,apps/steam
termux,system/konsole
tutanota,apps/tutanota-desktop
vlc,apps/vlc
yamusic,apps/cmus
